ISIN,Ticker,Fund Name,URL,Currency
GB0000485838 ,BGFD,Baillie Gifford Japan Trust Plc ,,
GB0006111123,MUT,Murray Income Trust ,,
GB0006436108,BRSC,BLACKROCK SMALLER COMPANIES TRUST (BRSC),,
GB00B6VTTK07,MWY,Mid Wynd International Investment Trust PLC,,
GB00BD8HBD32�,CSH,Civitas Housing Advisors Limited Civitas Social Housing PLC ,,
GB00BD9PXH49,ASLI,Aberdeen Standard European Logistics Income PLC,,
IE00B27YCK28,LTAM,iShares MSCI EM Latin America UCITS ETF,,
IE00BDFK1N50,IBTG,iShares Treasury 1-3yr ETF,,
IE00BGPP8L80,WMVG,iShares Edge MSCI World Minimum Volatility,,
IE00BLNMYC90�,XDWE,X Trackers S&P 500 Equal Weight ETF 1C,,
IE00BRHZ0398,UKRE,iShares MSCI Target UK Real Estate UCITS ETF GBP,,
IE00B1FZSD53,INXG,iShares � Index-Linked Gilts UCITS ETF GBP�,,
IE00B4WXJK79,IGLS,ISHARES FTSE UK GILTS 0-5 GBP,,
IE00B1FZS467,INFR,ISHARES GLOBAL INFRASTRUCTURE UCITS ETF,,
LU1841731745,LCCN,Lyxor MSCI China UCITS ETF,,
GB00BJLP1Y77,HICL,HICL Infrastructure,https://www.hl.co.uk/shares/shares-search-results/h/hicl-infrastructure-plc-ord-gbp0.0001,GBX
GB00B8SC6K54,UKW,Greencoat UK Wind,https://www.hl.co.uk/shares/shares-search-results/g/greencoat-uk-wind-plc-ordinary-shares,GBX
GB00B188SR50,INPP,International Public Partnerships,https://www.hl.co.uk/shares/shares-search-results/i/international-public-partnerships-ltd-ord,GBX
GB00BYRJ5J14,PHP,Primary Health Properties,https://www.hl.co.uk/shares/shares-search-results/p/primary-health-properties-ordinary-shares,GBX
