"Fund Screening European","","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: Base Currency","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grouped by: IA Sector","","","","","","","","","","","","","","","","","","","","","","","","",""
"Calculated on: 23/03/2023 13:12:05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Exported on: 23/03/2023 13:20:24","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Equity Style Box (Long)","","","","","","","","","","","","01/03/2018","","01/03/2020","","01/03/2022","","","",""
"","","","","","","","","","","","","","","","","","28/02/2023","","28/02/2023","","28/02/2023","","","",""
"Group/Investment","ISIN","IA Sector","Average Market Cap (mil) (Long)","Value-Growth Score (Long)","Equity Style Box (Long) 03/2022","Equity Style Box (Long) 04/2022","Equity Style Box (Long) 05/2022","Equity Style Box (Long) 06/2022","Equity Style Box (Long) 07/2022","Equity Style Box (Long) 08/2022","Equity Style Box (Long) 09/2022","Equity Style Box (Long) 10/2022","Equity Style Box (Long) 11/2022","Equity Style Box (Long) 12/2022","Equity Style Box (Long) 01/2023","Equity Style Box (Long) 02/2023","Up Capture Ratio","Down Capture Ratio","Up Capture Ratio","Down Capture Ratio","Up Capture Ratio","Down Capture Ratio","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Unclassified","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGF Continental Eurp Flex D2","LU0406496546","","49027.489500","244.258000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","117.998012","106.440824","122.203080","113.419645","135.864596","140.489587","","",""
"Digital Stars Continental Europe Acc1","LU1731919871","","6166.545280","173.499000","Mid Blend","Mid Blend","Mid Blend","Mid Blend","Mid Blend","Mid Blend","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Blend","","111.545778","115.279017","119.262883","117.740719","104.822703","142.114437","","",""
"Invesco Cnttl Eur Sm Cp Eq Z EUR Acc","LU1775962647","","1819.533370","171.518000","Small Growth","Small Blend","Small Blend","Small Growth","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","108.047895","110.873188","112.339455","103.997386","101.821516","89.364436","","",""
"Memnon European R EUR Acc","LU0578134230","","27155.042810","90.098000","Large Blend","Large Blend","Large Blend","Large Blend","Large Value","Large Blend","Large Value","Large Blend","Large Value","","","","106.715645","98.123601","104.088430","87.282907","125.598745","93.938110","","",""
"Blackrock ACS Contntl Eurp Eq Tracker X1","GB00BYQLTD03","","42764.501580","146.085000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","106.620931","105.407711","107.313569","106.958514","117.533120","113.640962","","",""
"AI Continental Eurp Eq Idx Insrd Pen Acc","GB00BD39DS33","","41526.961690","153.627000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","105.619645","104.695891","106.364827","105.426396","116.475896","109.423227","","",""
"AI Dev Eurp ex UK Eq Idx UK Instl Acc","GB00BDZZFG12","","43095.912460","152.355000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","104.674741","104.251652","105.623118","105.049827","115.722686","111.640483","","",""
"Monument International Europe","GB0000189281","","32355.985190","206.985000","","","","","","","","","","","","","103.834116","101.587527","106.971271","107.281995","119.858068","122.314972","","",""
