Fund Screening North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Base Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grouped by: IA Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated on: 06/06/2023 09:46:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported on: 06/06/2023 10:08:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Up Capture Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down Capture Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group/Investment,ISIN,IA Sector,Average Market Cap (mil) (Long),Value-Growth Score (Long),Index Fund,Enhanced Index,01/01/2018 - 31/12/2018,01/02/2018 - 31/01/2019,01/03/2018 - 28/02/2019,01/04/2018 - 31/03/2019,01/05/2018 - 30/04/2019,01/06/2018 - 31/05/2019,01/07/2018 - 30/06/2019,01/08/2018 - 31/07/2019,01/09/2018 - 31/08/2019,01/10/2018 - 30/09/2019,01/11/2018 - 31/10/2019,01/12/2018 - 30/11/2019,01/01/2019 - 31/12/2019,01/02/2019 - 31/01/2020,01/03/2019 - 29/02/2020,01/04/2019 - 31/03/2020,01/05/2019 - 30/04/2020,01/06/2019 - 31/05/2020,01/07/2019 - 30/06/2020,01/08/2019 - 31/07/2020,01/09/2019 - 31/08/2020,01/10/2019 - 30/09/2020,01/11/2019 - 31/10/2020,01/12/2019 - 30/11/2020,01/01/2020 - 31/12/2020,01/02/2020 - 31/01/2021,01/03/2020 - 28/02/2021,01/04/2020 - 31/03/2021,01/05/2020 - 30/04/2021,01/06/2020 - 31/05/2021,01/07/2020 - 30/06/2021,01/08/2020 - 31/07/2021,01/09/2020 - 31/08/2021,01/10/2020 - 30/09/2021,01/11/2020 - 31/10/2021,01/12/2020 - 30/11/2021,01/01/2021 - 31/12/2021,01/02/2021 - 31/01/2022,01/03/2021 - 28/02/2022,01/04/2021 - 31/03/2022,01/05/2021 - 30/04/2022,01/06/2021 - 31/05/2022,01/07/2021 - 30/06/2022,01/08/2021 - 31/07/2022,01/09/2021 - 31/08/2022,01/10/2021 - 30/09/2022,01/11/2021 - 31/10/2022,01/12/2021 - 30/11/2022,01/01/2022 - 31/12/2022,01/01/2018 - 31/12/2018,01/02/2018 - 31/01/2019,01/03/2018 - 28/02/2019,01/04/2018 - 31/03/2019,01/05/2018 - 30/04/2019,01/06/2018 - 31/05/2019,01/07/2018 - 30/06/2019,01/08/2018 - 31/07/2019,01/09/2018 - 31/08/2019,01/10/2018 - 30/09/2019,01/11/2018 - 31/10/2019,01/12/2018 - 30/11/2019,01/01/2019 - 31/12/2019,01/02/2019 - 31/01/2020,01/03/2019 - 29/02/2020,01/04/2019 - 31/03/2020,01/05/2019 - 30/04/2020,01/06/2019 - 31/05/2020,01/07/2019 - 30/06/2020,01/08/2019 - 31/07/2020,01/09/2019 - 31/08/2020,01/10/2019 - 30/09/2020,01/11/2019 - 31/10/2020,01/12/2019 - 30/11/2020,01/01/2020 - 31/12/2020,01/02/2020 - 31/01/2021,01/03/2020 - 28/02/2021,01/04/2020 - 31/03/2021,01/05/2020 - 30/04/2021,01/06/2020 - 31/05/2021,01/07/2020 - 30/06/2021,01/08/2020 - 31/07/2021,01/09/2020 - 31/08/2021,01/10/2020 - 30/09/2021,01/11/2020 - 31/10/2021,01/12/2020 - 30/11/2021,01/01/2021 - 31/12/2021,01/02/2021 - 31/01/2022,01/03/2021 - 28/02/2022,01/04/2021 - 31/03/2022,01/05/2021 - 30/04/2022,01/06/2021 - 31/05/2022,01/07/2021 - 30/06/2022,01/08/2021 - 31/07/2022,01/09/2021 - 31/08/2022,01/10/2021 - 30/09/2022,01/11/2021 - 31/10/2022,01/12/2021 - 30/11/2022,01/01/2022 - 31/12/2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB American Growth I GBP H,LU1877329059,North America,"150,762.71",281.33,No,No,,,,,,,,,,,,,,,,,,,90.86,108.38,110.66,110.66,110.66,112.66,118.49,122.94,121.34,116.05,122.80,120.90,120.90,129.86,124.53,124.53,131.76,130.44,128.02,128.02,130.27,118.43,109.45,109.45,108.67,106.79,73.40,73.40,66.06,97.05,88.30,,,,,,,,,,,,,,,,,,,43.41,16.99,13.13,31.54,60.80,60.80,72.72,84.96,92.85,111.29,111.29,68.46,68.46,203.25,203.25,189.92,219.95,219.95,219.95,158.80,172.95,172.95,198.10,212.37,196.26,196.26,196.26,183.28,183.28,183.28,175.37
AB Concentrated US Eq I USD,LU1011999676,North America,"116,030.08",236.67,No,No,107.80,114.55,110.84,123.98,126.93,124.94,132.81,126.41,129.20,126.27,122.87,124.66,122.84,123.13,128.42,114.34,115.63,117.88,104.34,99.22,100.71,98.48,99.63,97.81,96.54,92.49,97.09,97.78,96.48,89.57,100.89,109.84,108.18,108.18,111.11,117.22,124.60,132.34,127.85,115.77,111.82,118.93,109.88,109.57,112.64,112.64,101.40,115.17,111.70,73.28,73.28,71.20,81.85,81.85,86.99,86.99,86.99,90.28,90.28,97.26,97.26,107.34,107.34,89.28,101.93,101.93,101.82,101.82,101.82,99.86,92.25,93.61,93.61,93.61,93.61,104.70,67.51,67.51,67.51,67.51,67.51,67.51,132.98,141.29,119.03,119.03,116.61,142.87,142.87,125.75,119.08,115.48,115.48,120.76,118.41,118.41,120.68,119.35
AB Select US Equity A GBP H,LU0683600729,North America,"289,944.18",170.32,No,No,67.55,54.12,59.72,60.65,75.34,83.26,94.83,77.61,79.56,79.56,79.56,81.51,81.51,70.27,65.40,64.72,72.03,71.13,60.11,71.90,87.03,87.03,87.03,96.29,103.35,111.32,119.48,119.76,124.40,138.09,126.34,126.48,112.08,112.08,121.57,107.77,106.64,106.64,95.79,79.82,75.22,75.22,87.06,87.11,68.63,68.63,71.68,105.69,95.10,103.66,103.66,88.57,100.23,100.23,121.31,121.31,121.31,118.73,113.26,82.22,82.22,30.29,30.29,77.88,102.94,102.94,85.63,85.63,63.96,59.80,87.32,117.90,117.90,132.47,136.46,138.61,128.07,128.07,46.54,46.54,156.12,156.12,110.42,89.63,89.63,89.63,58.57,69.70,69.70,103.20,108.11,120.26,120.26,120.26,125.06,125.06,125.06,120.95
AB Sustainable US Tmtc I GBP H,LU2386875780,North America,"57,155.34",212.60,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB US Low Volatility Eq I GBP,LU2339504834,North America,"150,531.92",179.16,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.09,94.80,94.44,94.44,98.31,102.81,96.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.26,61.26,61.26,58.98,58.98,58.98,62.98
abrdn American Equity Enh Index B Acc,GB00BRJL8192,North America,"133,097.39",169.54,No,Yes,103.19,100.82,100.07,98.41,95.31,96.15,94.70,98.27,97.16,97.16,97.16,98.18,98.18,103.52,104.73,107.70,104.81,97.47,98.61,94.64,98.20,98.20,98.20,92.99,89.18,85.36,79.04,86.80,83.97,88.44,87.97,92.56,92.97,92.97,90.65,106.56,112.04,112.04,121.69,119.13,124.75,124.75,135.10,108.50,110.67,110.67,111.47,83.62,81.77,100.33,100.33,102.94,97.30,97.30,96.37,96.37,96.37,100.47,95.35,98.13,98.13,99.65,99.65,104.80,94.07,94.07,94.45,94.45,97.99,93.91,102.65,103.84,103.84,101.72,91.74,80.91,94.38,94.38,89.61,89.61,70.89,70.89,56.00,29.51,29.51,29.51,93.67,86.11,86.11,77.30,87.87,89.02,89.02,89.02,88.64,88.64,88.64,84.67
abrdn American Equity I Acc,GB00B0XWN259,North America,"121,177.28",215.43,No,No,112.97,109.70,109.77,109.44,103.72,110.76,102.69,106.78,110.41,110.41,110.41,103.07,103.07,112.86,113.14,114.03,104.12,98.13,96.16,89.17,90.52,90.52,90.52,87.62,85.54,77.05,74.60,79.37,84.04,86.97,95.35,101.82,103.31,103.31,99.40,102.88,104.45,104.45,109.00,101.91,97.35,97.35,96.67,78.76,78.15,78.15,66.75,54.28,52.75,110.68,110.68,106.86,104.84,104.84,92.33,92.33,92.33,93.62,99.30,99.01,99.01,84.77,84.77,89.78,82.44,82.44,90.23,90.23,86.59,84.56,84.56,89.62,89.62,87.43,88.71,84.78,137.18,137.18,136.67,136.67,157.71,157.71,122.21,110.73,110.73,110.73,118.04,107.90,107.90,109.51,118.87,112.30,112.30,112.30,105.72,105.72,105.72,95.63
abrdn American Equity Tracker B Acc,GB00BGMK1170,North America,"157,997.55",179.52,Yes,No,,,,,,,,,,,,,,,108.61,109.89,102.35,97.31,97.77,92.95,98.40,98.40,98.40,94.77,92.12,88.39,84.81,88.35,88.92,92.22,94.32,97.70,94.99,94.99,92.68,104.93,108.90,108.90,114.60,117.35,120.37,120.37,126.97,107.90,113.36,113.36,113.11,87.19,85.57,,,,,,,,,,,,,,,100.27,93.01,93.01,95.48,95.48,96.88,94.08,100.14,98.78,98.78,98.66,92.54,82.18,84.08,84.08,91.32,91.32,83.73,83.73,66.61,51.84,51.84,51.84,95.85,88.92,88.92,83.12,91.29,91.17,91.17,91.17,91.83,91.83,91.83,86.26
abrdn American Focused Eq X Acc GBP,LU0837963916,North America,"2,920.33",203.20,No,No,112.66,109.00,108.82,108.72,102.82,109.55,100.79,105.62,109.35,109.35,109.35,102.08,102.08,112.41,113.02,113.66,103.68,98.04,96.99,89.76,93.39,93.39,93.39,90.43,87.56,79.09,76.73,80.30,85.14,87.99,95.60,101.41,100.26,100.26,95.81,98.09,99.76,99.76,103.87,98.80,93.66,93.66,92.39,76.06,75.91,75.91,64.82,51.29,50.60,110.88,110.88,107.33,105.38,105.38,92.84,92.84,92.84,95.15,100.91,101.62,101.62,90.52,90.52,94.46,85.22,85.22,93.30,93.30,88.02,85.03,88.63,96.64,96.64,93.89,94.36,91.69,170.66,170.66,149.28,149.28,179.25,179.25,124.85,100.74,100.74,100.74,111.24,99.61,99.61,103.14,113.93,108.56,108.56,108.56,101.99,101.99,101.99,92.84
abrdn American Income Eq P1 Acc,GB00BYV20911,North America,"153,611.45",156.81,No,No,85.36,87.44,86.18,89.64,91.41,88.89,84.93,90.99,90.15,90.15,90.15,91.54,91.54,100.79,103.82,100.86,96.89,92.29,91.51,86.40,89.25,89.25,89.25,88.86,86.97,81.70,79.23,86.80,84.30,87.23,87.72,89.86,89.85,89.85,87.64,89.65,102.49,102.49,106.75,100.73,107.55,107.55,120.12,98.31,99.03,99.03,100.22,91.50,76.74,93.05,93.05,88.03,86.93,86.93,73.87,73.87,73.87,74.75,71.50,78.59,78.59,51.79,51.79,75.58,75.34,75.34,84.79,84.79,90.63,91.70,95.58,108.11,108.11,109.64,109.60,113.19,258.11,258.11,182.16,182.16,156.98,156.98,119.33,68.84,68.84,68.84,64.14,55.10,55.10,47.91,48.69,53.83,53.83,53.83,55.73,55.73,55.73,53.29
