Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other,Average
01/01/1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1973,0.78%,6.53%,3.47%,-7.04%,-0.01%,3.70%,-5.15%,3.89%,4.22%,-3.73%,-2.86%,3.00%,0.83%,-1.57%,-2.11%,-0.23%,9.57%,4.51%,-2.82%,2.62%,-0.04%,-4.19%,1.72%,0.92%,-1.55%,-1.76%,-1.27%,-7.90%,-1.54%,-1.87%,0.00%
01/03/1973,0.48%,8.31%,5.01%,-10.20%,-0.80%,3.20%,-8.74%,5.63%,5.90%,-2.35%,-3.27%,7.71%,-2.17%,-0.66%,-3.46%,-0.77%,9.03%,6.13%,1.13%,1.32%,1.38%,-6.28%,1.34%,3.10%,2.60%,-6.84%,-6.66%,-5.74%,-1.07%,-2.56%,0.00%
01/04/1973,2.77%,9.66%,2.30%,-12.33%,-6.64%,4.10%,-10.34%,6.53%,8.76%,-2.87%,-0.87%,13.27%,-1.94%,-4.45%,-0.34%,-1.78%,14.80%,2.72%,6.52%,7.15%,8.67%,-7.99%,1.00%,4.55%,0.31%,-8.19%,-8.16%,-16.06%,-2.72%,-5.29%,0.00%
01/05/1973,5.30%,12.73%,3.74%,-14.78%,-6.19%,7.12%,-14.02%,11.22%,11.18%,-5.16%,-1.64%,11.20%,-1.58%,0.48%,-3.01%,-2.93%,16.25%,4.08%,6.39%,11.10%,11.38%,-12.75%,1.93%,10.05%,-6.86%,-11.87%,-6.55%,-18.03%,-2.65%,-9.54%,0.00%
01/06/1973,4.99%,14.88%,10.66%,-20.73%,-7.51%,11.85%,-22.38%,14.63%,12.84%,-7.33%,-1.13%,11.61%,-0.48%,6.89%,-2.97%,-7.76%,23.19%,-3.24%,11.44%,11.75%,14.42%,-17.27%,5.01%,12.45%,-9.03%,-13.92%,-8.81%,-23.25%,2.81%,-9.05%,0.00%
01/07/1973,2.65%,11.74%,7.62%,-14.81%,-5.28%,7.98%,-18.74%,13.21%,11.82%,-5.44%,4.04%,10.48%,3.65%,7.55%,-5.24%,-2.24%,22.77%,-14.83%,2.82%,0.01%,4.79%,-9.18%,1.31%,9.34%,-9.11%,-6.97%,-7.19%,-16.16%,3.80%,-9.45%,0.00%
01/08/1973,3.82%,13.42%,3.06%,-13.79%,-6.12%,6.50%,-22.71%,8.91%,13.27%,-6.84%,5.03%,15.12%,9.46%,5.23%,-5.36%,-3.15%,27.10%,-21.54%,2.24%,1.03%,3.93%,-8.40%,0.70%,17.27%,-9.87%,-5.69%,-8.69%,-15.20%,4.72%,-9.22%,0.00%
01/09/1973,2.94%,3.92%,-3.35%,-16.31%,-5.55%,-2.73%,-20.86%,1.48%,16.39%,-7.64%,7.20%,17.70%,10.22%,7.36%,-5.55%,-2.29%,30.59%,-4.67%,3.80%,1.33%,3.99%,-7.40%,-10.23%,15.12%,-5.76%,-3.60%,-9.46%,-12.35%,4.42%,-11.32%,0.00%
01/12/1972,0.95%,6.10%,-3.30%,-21.93%,-8.89%,-3.11%,-25.98%,3.84%,20.01%,-5.84%,7.55%,27.00%,13.43%,4.59%,-11.85%,-2.12%,40.32%,6.93%,9.71%,-1.59%,-1.25%,-11.01%,-6.07%,14.61%,-5.14%,-3.26%,-12.47%,-17.81%,3.12%,-11.71%,0.00%
