,Fidelity UK Select W Acc,FTF Franklin UK Managers' Foc W Acc,FTF Franklin UK Rising Dividends W Acc,GlobalAccess UK Opportunities M Acc GBP,IFSL CAF UK Equity A Acc,Invesco UK Opports (UK) Z (Acc),JPM UK Equity Plus C Net Acc,LF IM UK Growth A Inc,Liontrust MA UK Equity S Acc,Liontrust Special Situations I Inc
ISIN,GB00BFRT3942,GB00B7MPWT49,GB00B5MJ5601,IE00B0XXCK95,GB00B5LJ4860,GB00B8N46S41,GB00BW4Q9B11,GB00B3TZW115,GB00BCZW5M11,GB00B57H4F11
Average Market Cap (mil) (Long),17201.67784,6444.00599,13375.22426,8128.68048,9983.29586,18575.40077,26710.78878,46690.5111,11906.10105,6163.83079
Value-Growth Score (Long),171.179,141.125,138.292,97.768,97.098,75.971,96.11,83.548,122.055,194.763
Return,0.0,0.433019,0.793903,0.949263,1.474647,0.42694,1.451613,1.168007,1.610306,-0.184898
Return.1,-0.824668,-0.626305,-0.404327,-0.875486,-1.058798,-1.21062,-1.351351,-1.51441,-0.950872,-0.523032
Return.2,0.0,0.013701,-0.010545,0.130847,0.245369,0.076947,-0.08058,0.01754,0.4,0.410768
Return.3,0.723066,0.392712,0.696019,0.555374,0.040218,0.449937,0.806452,0.093532,-0.239044,0.84272
Return.4,0.610194,1.000682,1.235796,0.649773,0.865324,0.388388,-0.16,-0.061323,0.958466,1.479338
Return.5,-1.462719,-0.842153,-1.572441,-1.387992,-1.855772,-0.926266,-1.602564,-2.3054,-1.977848,-1.854862
Return.6,2.606807,2.457081,1.529245,1.571195,1.828387,1.667474,2.035831,1.788545,1.775626,0.92052
Return.7,1.023289,0.0,0.50207,1.998066,0.270834,0.412134,-0.319234,0.578692,0.555115,0.312113
Return.8,0.523926,1.507159,1.385384,0.853081,1.31338,1.136395,1.761409,1.93795,1.26183,1.373317
Return.9,1.042391,0.519673,0.386061,-0.344612,0.006973,0.723317,0.314713,0.491265,0.0,0.28576
Return.10,1.169188,1.73777,0.981682,1.32034,1.7211,1.044293,0.862745,1.495516,1.635514,1.292808
Return.11,1.019714,0.563669,1.037282,0.434378,0.409199,0.097654,0.466563,1.085872,0.536398,0.66366
Return.12,-1.41319,-1.605096,-1.64658,-0.957677,-0.966934,-1.709981,-0.851393,-0.989624,-0.914634,-1.375023
Return.13,-0.546075,-0.112204,-0.090767,-0.124766,-0.727464,0.479735,-1.092896,-0.247743,-0.692308,0.296466
Return.14,-0.411805,-0.185777,-0.191793,-0.218613,-0.14676,-1.125014,-0.710339,-0.56523,0.077459,-0.173093
Return.15,-1.447278,-1.27689,-1.704172,-1.72144,-0.365491,0.074929,-0.238474,-0.956017,-0.696594,-1.139062
Return.16,-1.118881,-0.341985,-1.075214,0.127389,-0.59423,0.022185,0.318725,-0.481173,-0.779423,-0.852671
Return.17,0.49505,-0.030796,0.416038,0.318066,0.318643,0.55172,1.032566,0.97865,0.628437,0.685826
Return.18,1.618578,2.138802,2.045678,1.04629,1.293349,0.565237,0.707547,1.179728,1.014832,1.911017
Return.19,-0.311634,-0.48688,-1.080999,-0.219642,-0.055966,0.224824,-0.312256,-1.222989,0.15456,-1.121927
Return.20,-0.173671,0.835643,0.795239,1.415094,0.216766,1.023116,1.252937,1.572917,-0.154321,0.595494
Return.21,-1.565762,-1.958006,-1.170722,-1.829457,-0.288136,-1.952395,-2.242846,-1.608229,0.386399,-0.917284
Return.22,0.848356,0.93724,0.746807,0.347442,0.380402,0.287229,0.949367,0.831697,0.307929,0.610905
Return.23,1.647389,0.455591,1.088901,0.818382,-0.070904,1.04924,1.802508,2.113644,-0.613968,0.727565
Return.24,0.448276,0.185729,-0.101143,0.84296,0.04051,0.626823,-0.307929,0.471195,-0.15444,0.308044
Return.25,-0.789564,-0.487174,-1.047889,-0.866873,-0.436366,-1.681879,-1.544402,-1.761487,-0.232019,-0.288566
Return.26,-1.868512,-1.3647,-1.07945,-1.561524,-0.462219,-0.151507,-1.333333,-2.176693,0.155039,-1.128398
Return.27,0.881523,0.663241,1.0964,0.920051,-0.654095,1.451155,1.192369,0.374728,-1.393189,0.730417
Return.28,1.223348,0.772319,1.340291,1.823326,0.493742,1.598999,1.335428,1.490421,0.235479,1.770147
Return.29,1.76105,2.290539,1.393236,1.728929,2.18658,1.075988,2.48062,2.54926,2.349256,1.616241
Return.30,0.373261,0.774636,0.323608,0.242792,0.564005,0.161534,0.680787,0.283625,0.918133,1.306971
Return.31,-0.371873,-0.462049,-0.526028,-0.333031,-0.228767,0.470601,0.300526,0.055455,-0.379075,-0.575078
Return.32,1.357313,0.354475,0.0,0.212637,-0.063213,-0.160518,-0.524345,0.005542,-0.456621,0.383897
Return.33,0.903917,1.013414,0.304315,1.060928,0.65795,0.774887,0.903614,1.363616,0.535168,0.813298
Return.34,-1.260783,-1.461161,-1.427435,-1.919616,-0.675077,-1.87263,-1.492537,-1.28968,0.076046,-1.074807
Return.35,-0.369624,-1.339191,-0.544932,-1.223242,-1.390582,-1.780431,-0.30303,-0.459809,-1.519757,-0.593093
Return.36,0.775717,1.130427,0.319618,1.517028,0.809366,0.113972,0.911854,0.628116,0.925926,0.108011
Return.37,-1.639893,-1.007706,-1.228886,-2.287283,-0.18697,0.018974,-2.334337,-2.362425,-0.229358,-0.629383
Return.38,0.0,0.252352,-0.102401,0.686642,-0.427539,0.254743,0.848111,-0.080271,-0.306513,-0.791066
Return.39,0.884655,0.533299,1.091692,0.650961,0.93702,0.98124,1.911315,1.328398,1.152959,0.925057
Return.40,2.057336,2.384994,1.815048,1.601478,1.287225,1.863105,2.4006,1.979217,0.987842,2.119749
Return.41,0.231328,0.43107,0.468081,0.363747,0.779757,0.609676,0.29304,0.719125,0.902935,0.84193
Return.42,0.824266,1.077177,1.065623,1.087285,0.920824,1.217187,1.241782,1.3949,0.372856,0.895073
Return.43,-0.196207,-0.183741,-0.441371,0.83657,0.432999,0.676112,1.298701,0.462195,0.742942,0.124248
Return.44,-0.491481,-1.002209,0.054185,-0.02963,-0.695091,-0.917643,-0.42735,-0.581852,-0.589971,-0.565869
Return.45,-0.856108,-1.115656,-1.275108,-0.711322,-0.318449,0.129349,-0.858369,-1.137848,-0.37092,-1.228035
Return.46,-1.92627,-1.353892,-1.286591,-2.298507,-1.13895,-3.06162,-1.875902,-2.467096,-0.893522,-1.907915
Return.47,-3.860481,-4.02423,-4.036373,-3.941338,-3.786479,-5.018657,-5.073529,-5.239682,-4.132231,-3.72002
Return.48,2.430433,1.906696,1.784586,2.894402,0.55791,2.00073,2.711077,3.300959,0.23511,1.955958
Return.49,-0.481431,-0.255533,-0.739591,0.49459,0.571991,0.558459,0.452489,-0.190344,0.39093,1.320071
Return.50,-2.280581,-0.147634,-1.771571,-1.968625,-0.408982,-0.96025,-2.327327,-2.106449,-0.233645,-1.504908
Return.51,1.343706,2.191686,1.97857,2.384688,0.74361,1.350754,1.691007,1.924496,0.234192,1.67254
Return.52,-1.081647,-0.812766,-1.003901,-0.858106,-0.331675,-0.959363,-0.302343,-0.532855,-0.077882,0.212095
Return.53,-4.126984,-2.183706,-2.028163,-2.936631,-1.872457,-2.886706,-2.42608,-2.928931,-1.714731,-1.551208
Return.54,1.508462,1.868421,2.064786,1.146497,-0.136329,1.311986,1.787102,1.286704,-0.634417,1.266287
Return.55,0.94237,1.291656,1.219064,1.259446,1.419408,2.114508,1.832061,1.371039,1.596169,1.770828
Return.56,1.256732,0.820369,0.903286,1.368159,1.700952,1.407872,0.5997,1.232729,1.649647,1.198168
Return.57,1.595745,0.729373,0.2984,1.226994,1.309302,3.049456,2.459016,1.89583,1.081917,1.593726
Return.58,1.535777,0.577599,1.087458,1.0,0.600945,0.414133,0.945455,0.971341,0.535168,0.814054
Return.59,1.718804,1.385768,0.740854,1.410141,1.475812,1.130253,1.152738,1.164497,1.901141,1.131455
Return.60,2.365664,2.048188,1.853624,2.159763,1.588765,1.566735,2.849003,2.454987,1.492537,1.485257
Return.61,1.221525,0.921084,1.46877,0.92673,0.922984,0.851334,1.038781,1.187114,1.323529,1.298515
Return.62,0.293542,0.302897,0.901647,0.286944,0.454703,-0.844148,-0.822481,-0.298038,0.798258,0.583097
Return.63,-0.097561,0.361585,-0.125586,-0.314735,-0.599726,-0.297332,0.207326,0.252731,-0.719942,0.025817
Return.64,-0.260417,0.019796,-0.957586,0.54535,0.55407,-0.660159,-0.137931,0.105717,0.652647,0.169649
Return.65,0.881201,0.98959,1.220763,-0.142735,0.229594,0.466978,0.552486,0.815056,-0.216138,0.610658
Return.66,-1.035264,-0.827029,-1.095084,0.028588,-0.834178,-1.27439,-1.373626,-2.092342,-0.649819,-1.059794
Return.67,0.686499,0.383369,-0.102429,-0.428694,-0.43821,0.095714,0.139276,0.392297,-0.290698,0.584697
Return.68,-0.616883,-1.181149,-0.424784,-0.315729,-0.112119,-0.0827,-1.668985,-1.565788,-0.145773,-0.481239
Return.69,1.960144,0.872545,1.41218,1.065361,0.407556,-0.258652,1.202263,2.218089,0.510949,1.263974
Return.70,0.096123,-0.094794,-0.091867,0.42735,0.517962,-1.050257,-0.279525,0.051601,0.87146,0.45389
Return.71,-0.992318,-0.470467,-0.154866,-0.340426,-0.526897,0.990644,0.210231,0.627036,-0.647948,-0.350646
