,CFP SDL Free Spirit General Acc,MI Chelverton UK Equity Growth B Acc,Premier Miton UK GrC Inc,Slater Growth P Acc,Slater Recovery P Acc
ISIN,GB00BYYQC271,GB00BP855B75,GB0031639221,GB00B7T0G907,GB00B90KTC71
Average Market Cap (mil) (Long),1218.4548,442.40632,1912.39922,1359.85149,972.92618
Value-Growth Score (Long),244.468,208.671,157.317,222.699,216.17
Return,0.070714,0.370476,0.248954,2.89801,1.372646
Return.1,0.010095,-0.461571,-0.799642,-1.754648,-0.899448
Return.2,0.423943,0.588396,1.126521,2.217834,2.451537
Return.3,1.165946,3.351447,0.638677,1.248328,1.044776
Return.4,0.268256,1.676524,0.737935,0.452916,1.238862
Return.5,-0.336901,1.122521,-0.51277,-0.093932,-0.282393
Return.6,0.715848,1.657775,1.904575,1.276587,0.953415
Return.7,0.394867,0.308953,0.602119,-0.641594,0.247791
Return.8,0.943953,1.455283,1.35504,0.506623,0.764854
Return.9,-1.052016,-0.392371,0.576342,0.801554,-0.222161
Return.10,1.309313,1.537295,0.859558,1.826044,1.419427
Return.11,0.165193,0.650527,-0.246822,-0.621918,0.992499
Return.12,-0.960419,-1.395978,-2.10084,-0.804034,-2.065124
Return.13,-0.479969,0.086392,0.104912,1.490435,-0.212717
Return.14,0.777559,0.072496,-0.347752,-0.078457,2.595116
Return.15,-0.234398,-0.441826,-0.678809,-0.555667,-0.392972
Return.16,0.430739,0.393688,-0.038504,-0.404907,-0.331036
Return.17,-0.165708,0.695104,-0.303337,-0.142294,0.159243
Return.18,0.810389,1.665678,1.410219,2.068235,1.553557
Return.19,0.581114,1.106992,0.219068,0.309134,-0.134192
Return.20,1.733269,1.145743,0.774568,0.216721,0.376243
Return.21,-0.804543,-0.341563,-1.971047,-1.519721,-0.11602
Return.22,1.20229,0.349201,-0.327096,0.962972,-0.236776
Return.23,-0.292287,-0.180854,0.318517,-1.743954,-1.132954
Return.24,0.775414,0.821272,0.674893,1.823646,0.765468
Return.25,1.163554,0.010519,-0.983064,-1.866773,-0.323639
Return.26,-0.120583,-0.717719,-0.707756,-0.203236,-0.198422
Return.27,-0.269316,0.221898,1.499851,0.352313,0.122001
Return.28,2.504889,1.374321,1.404535,1.869026,1.832295
Return.29,1.980378,1.188641,1.625547,2.784972,2.725581
Return.30,0.525566,1.025835,-0.127774,0.263586,0.651452
Return.31,0.026584,0.81062,0.473844,-1.005181,-0.844406
Return.32,-0.026577,-0.416094,-0.297114,1.942904,0.65707
Return.33,0.177226,1.307013,0.397332,0.938571,1.37857
Return.34,-0.097302,-0.254302,-2.219081,-0.079701,0.144031
Return.35,-0.106251,-1.725574,-0.703479,-0.659007,-0.042301
Return.36,1.329551,1.066091,0.771545,1.292345,0.939484
Return.37,0.3324,1.223785,-0.65007,-1.636343,0.171893
Return.38,-0.156931,0.031091,0.09209,-0.266708,-2.251706
Return.39,1.012924,0.191703,0.755411,1.260149,1.755513
Return.40,1.262102,1.559197,2.148315,1.419262,1.729434
Return.41,1.09271,1.041727,1.157429,2.420382,2.858206
Return.42,0.988009,0.698368,0.767442,2.763755,2.416858
Return.43,-0.1756,2.31408,0.161551,-1.158713,-1.276111
Return.44,0.092143,-0.011269,-0.308756,0.37816,0.035795
Return.45,-0.46029,0.338717,-0.314335,-0.654802,-0.711673
Return.46,-1.185472,-0.099348,-1.701832,-1.840114,-0.880951
Return.47,-3.505488,-3.912906,-4.264553,-3.74186,-3.983356
Return.48,1.966317,1.772593,3.212772,1.557603,1.531535
Return.49,2.032169,0.77086,0.477418,0.716988,-1.114749
Return.50,-0.771252,-0.32798,-0.88651,-0.975336,1.508675
Return.51,1.716775,0.193758,1.596258,0.877392,0.656428
Return.52,-1.175581,-0.048948,-0.650306,-0.649047,-0.50039
Return.53,-2.132722,-2.158307,-2.713808,-2.98027,-2.757739
