Designation,Account Name,ISIN,Description,Base Market Value,Asset Type,% Target,Investment Area,Tradeable,Traded,Trade Amount,Initial Market Value,Fund Over/Under,% Holding,% Fund Difference,% Sector Target,% Sector Holding,% Sector Difference,Sector Traded,Bucket,% Bucket Target,% Bucket Holding,% Bucket Difference,Sector Over/Under,Bucket Over/Under
397792,CLARION EXPLORER,GB0006063233,BAILLIE GIFFORD PACIFIC B,1896672.63,UCITS Open-Ended Funds,0.03,Asia Pacific,True,False,0.0,1896672.63,On Target,0.027269382444929914,-0.002730617555070085,0.1,0.0975944265400728,-0.0024055734599272016,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB0007646747,SCHRODER INST PACIFIC I,1422439.32,UCITS Open-Ended Funds,0.02,Asia Pacific,True,False,0.0,1422439.32,On Target,0.020451100104600575,0.00045110010460057415,0.1,0.0975944265400728,-0.0024055734599272016,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00B3X7QG63,VNGRD FTSE UK AL SHR INDX,8087824.49,UCITS Open-Ended Funds,0.119,UK,True,False,0.0,8087824.49,On Target,0.1162825759579186,-0.00271742404208139,0.33999999999999997,0.3382210613715523,-0.0017789386284476905,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00B58YKH53,ISHARES OVERSEAS CORP BD,2803313.71,UCITS Open-Ended Funds,0.04,Bond,True,False,0.0,2803313.71,On Target,0.04030460104815524,0.0003046010481552383,0.04,0.04030460104815524,0.0003046010481552383,False,Bonds,0.09,0.08883271323029301,-0.0011672867697069822,On Target,On Target
397792,CLARION EXPLORER,GB00B5M5KY18,JPM EMRGNG MKT INC C ACC,1734019.99,UCITS Open-Ended Funds,0.026,Emerging Markets,True,False,0.0,1734019.99,On Target,0.024930846539639024,-0.0010691534603609748,0.13,0.13030323213329453,0.0003032321332945287,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00B6QQ9X96,ISHARES JAPAN EQ D ACC,4350684.99,UCITS Open-Ended Funds,0.06,Japan,True,False,0.0,4350684.99,On Target,0.06255190854403066,0.0025519085440306594,0.06,0.06255190854403066,0.0025519085440306594,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00B7DRD638,FRANKLIN UK EQ INC W ACC,6035992.54,UCITS Open-Ended Funds,0.085,UK,True,False,0.0,6035992.54,On Target,0.08678239270421904,0.001782392704219038,0.33999999999999997,0.3382210613715523,-0.0017789386284476905,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00B7L34154,UBS GLOBAL EM EQTY C ACC,1782329.58,UCITS Open-Ended Funds,0.026,Emerging Markets,True,False,0.0,1782329.58,On Target,0.025625416949224027,-0.0003745830507759715,0.13,0.13030323213329453,0.0003032321332945287,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00B7T0G907,MFM SLATER GROWTH CLASS P,3445750.95,UCITS Open-Ended Funds,0.051,UK,True,False,0.0,3445750.95,On Target,0.04954123288294121,-0.001458767117058786,0.33999999999999997,0.3382210613715523,-0.0017789386284476905,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00B80QGH28,HSBC EUROPEAN INDEX C ACC,4127771.28,UCITS Open-Ended Funds,0.06,Europe,True,False,0.0,4127771.28,On Target,0.05934697000373643,-0.0006530299962635711,0.06,0.05934697000373643,-0.0006530299962635711,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00B82VD295,STND LIFE GLBL MKT EQ ACC,1918240.81,UCITS Open-Ended Funds,0.026,Emerging Markets,True,False,0.0,1918240.81,On Target,0.027579478631144766,0.0015794786311447671,0.13,0.13030323213329453,0.0003032321332945287,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00B8N46731,IP GLOBAL EMERGING MARKET,1828619.83,UCITS Open-Ended Funds,0.026,Emerging Markets,True,False,0.0,1828619.83,On Target,0.02629095432808177,0.0002909543280817696,0.13,0.13030323213329453,0.0003032321332945287,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00BDD29732,SCHRODER ASIAN INC L ACC,1479651.28,UCITS Open-Ended Funds,0.02,Asia Pacific,True,False,0.0,1479651.28,On Target,0.021273664206062845,0.0012736642060628446,0.1,0.0975944265400728,-0.0024055734599272016,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00BJS8SH10,FIDELITY INDEX US P ACC,7047396.6,UCITS Open-Ended Funds,0.1,USA,True,False,0.0,7047396.6,On Target,0.1013238394896323,0.0013238394896323002,0.2,0.1981344150321267,-0.0018655849678733127,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,IE00BLNMYC90,X TRACKERS S&P 500 EQUAL,3451487.39,UCITS ETFs,0.05,USA,True,False,0.0,3451487.39,On Target,0.04962370846347004,-0.00037629153652996017,0.2,0.1981344150321267,-0.0018655849678733127,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00BMH6XK58,ALLIANZ UK EQUITY INCOME,5954786.9,UCITS Open-Ended Funds,0.085,UK,True,False,0.0,5954786.9,On Target,0.0856148598264734,0.000614859826473399,0.33999999999999997,0.3382210613715523,-0.0017789386284476905,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00BMMV5766,ART US SMALL COMPS I ACC,3281997.29,UCITS Open-Ended Funds,0.05,USA,True,False,0.0,3281997.29,On Target,0.047186867079024364,-0.002813132920975639,0.2,0.1981344150321267,-0.0018655849678733127,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,IE00BRHZ0398,ISHARESUK REAL ESTATE ETF,3375285.17,UCITS ETFs,0.05,Property,True,False,0.0,3375285.17,On Target,0.04852811218213777,-0.0014718878178622344,0.05,0.04852811218213777,-0.0014718878178622344,False,Bonds,0.09,0.08883271323029301,-0.0011672867697069822,On Target,On Target
397792,CLARION EXPLORER,GB00BRJL7V21,ABER AS PAC EQ EN ID B AC,1989240.79,UCITS Open-Ended Funds,0.03,Asia Pacific,True,False,0.0,1989240.79,On Target,0.028600279784479474,-0.0013997202155205252,0.1,0.0975944265400728,-0.0024055734599272016,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
397792,CLARION EXPLORER,GB00BVRZK937,BNY MEL GBL EMG W ACC,1799795.69,UCITS Open-Ended Funds,0.026,Emerging Markets,True,False,0.0,1799795.69,On Target,0.02587653568520495,-0.00012346431479504788,0.13,0.13030323213329453,0.0003032321332945287,False,Equities,0.89,0.8861520136248134,-0.003847986375186574,On Target,On Target
