Designation,Account Name,ISIN,Description,Base Market Value,Asset Type,% Target,Investment Area,Tradeable,Traded,Trade Amount,Initial Market Value,Fund Over/Under,% Holding,% Fund Difference,% Sector Target,% Sector Holding,% Sector Difference,Sector Traded,Bucket,% Bucket Target,% Bucket Holding,% Bucket Difference,Sector Over/Under,Bucket Over/Under
397874,CLARION MERIDIAN,GB0006063233,BAILLIE GIFFORD PACIFIC B,2062471.82,UCITS Open-Ended Funds,0.03,Asia Pacific,True,False,0.0,2062471.82,On Target,0.027805118656759237,-0.0021948813432407614,0.1,0.1007704104741165,0.0007704104741164952,False,Equities,0.75,0.749173994187464,-0.0008260058125360015,On Target,On Target
397874,CLARION MERIDIAN,GB0007646747,SCHRODER INST PACIFIC I,1521860.77,UCITS Open-Ended Funds,0.02,Asia Pacific,True,False,0.0,1521860.77,On Target,0.02051689573577639,0.0005168957357763911,0.1,0.1007704104741165,0.0007704104741164952,False,Equities,0.75,0.749173994187464,-0.0008260058125360015,On Target,On Target
397874,CLARION MERIDIAN,GB00B3X7QG63,VNGRD FTSE UK AL SHR INDX,6009654.25,UCITS Open-Ended Funds,0.0805,UK,True,False,0.0,6009654.25,On Target,0.08101887642147151,0.0005188764214715119,0.23,0.2265860266188737,-0.0034139733811263118,False,Equities,0.75,0.749173994187464,-0.0008260058125360015,On Target,On Target
397874,CLARION MERIDIAN,GB00B4W1ZT22,RYL LNDN STRLG CRDT Z INC,-3.067075047126939e+95,UCITS Open-Ended Funds,0.024,Bond,True,True,-1.5335375235634694e+95,1578071.04,Buy,-4.134863070010332e+87,-4.134863070010332e+87,0.12,-4.134863070010332e+87,-4.134863070010332e+87,True,Bonds,0.16999999999999998,-4.134863070010332e+87,-4.134863070010332e+87,Buy,Buy
397874,CLARION MERIDIAN,GB00B58YKH53,ISHARES OVERSEAS CORP BD,1486258.01,UCITS Open-Ended Funds,0.02,Bond,True,False,0.0,1486258.01,On Target,0.020036918769929597,3.691876992959614e-05,0.12,-4.134863070010332e+87,-4.134863070010332e+87,True,Bonds,0.16999999999999998,-4.134863070010332e+87,-4.134863070010332e+87,Buy,Buy
397874,CLARION MERIDIAN,GB00B5BJ7M17,SCHRODER ASIAN INC Z ACC,1513933.43,UCITS Open-Ended Funds,0.02,Asia Pacific,True,False,0.0,1513933.43,On Target,0.020410023667418883,0.000410023667418883,0.1,0.1007704104741165,0.0007704104741164952,False,Equities,0.75,0.749173994187464,-0.0008260058125360015,On Target,On Target
397874,CLARION MERIDIAN,GB00B5M5KY18,JPM EMRGNG MKT INC C ACC,1540681.78,UCITS Open-Ended Funds,0.02,Emerging Markets,True,False,0.0,1540681.78,On Target,0.020770630313488126,0.0007706303134881257,0.1,0.10142912913879129,0.0014291291387912852,False,Equities,0.75,0.749173994187464,-0.0008260058125360015,On Target,On Target
397874,CLARION MERIDIAN,GB00B6QQ9X96,ISHARES JAPAN EQ D ACC,3860465.29,UCITS Open-Ended Funds,0.05,Japan,True,False,0.0,3860465.29,On Target,0.052044684643861194,0.0020446846438611915,0.05,0.052044684643861194,0.0020446846438611915,False,Equities,0.75,0.749173994187464,-0.0008260058125360015,On Target,On Target
397874,CLARION MERIDIAN,GB00B7DRD638,FRANKLIN UK EQ INC W ACC,4166702.54,UCITS Open-Ended Funds,0.0575,UK,True,False,0.0,4166702.54,On Target,0.05617320799666494,-0.0013267920033350616,0.23,0.2265860266188737,-0.0034139733811263118,False,Equities,0.75,0.749173994187464,-0.0008260058125360015,On Target,On Target
397874,CLARION MERIDIAN,GB00B7L34154,UBS GLOBAL EM EQTY C ACC,2172079.05,UCITS Open-Ended Funds,0.03,Emerging Markets,True,False,0.0,2172079.05,On Target,0.02928278346955105,-0.0007172165304489483,0.1,0.10142912913879129,0.0014291291387912852,False,Equities,0.75,0.749173994187464,-0.0008260058125360015,On Target,On Target
397874,CLARION MERIDIAN,GB00B7T0G907,MFM SLATER GROWTH CLASS P,2503472.61,UCITS Open-Ended Funds,0.0345,UK,True,False,0.0,2503472.61,On Target,0.03375045045463784,-0.0007495495453621603,0.23,0.2265860266188737,-0.0034139733811263118,False,Equities,0.75,0.749173994187464,-0.0008260058125360015,On Target,On Target
397874,CLARION MERIDIAN,GB00B80QGH28,HSBC EUROPEAN INDEX C ACC,3630887.7,UCITS Open-Ended Funds,0.05,Europe,True,False,0.0,3630887.7,On Target,0.04894964495944853,-0.0010503550405514747,0.05,0.04894964495944853,-0.0010503550405514747,False,Equities,0.75,0.749173994187464,-0.0008260058125360015,On Target,On Target
397874,CLARION MERIDIAN,GB00B82VD295,STND LIFE GLBL MKT EQ ACC,1422912.54,UCITS Open-Ended Funds,0.02,Emerging Markets,True,False,0.0,1422912.54,On Target,0.01918292973956399,-0.0008170702604360092,0.1,0.10142912913879129,0.0014291291387912852,False,Equities,0.75,0.749173994187464,-0.0008260058125360015,On Target,On Target
