Designation,Account Name,ISIN,Description,Base Market Value,Asset Type,% Target,Investment Area,Tradeable,Traded,Trade Amount,Initial Market Value,Fund Over/Under,% Holding,% Fund Difference,% Sector Target,% Sector Holding,% Sector Difference,Sector Traded,Bucket,% Bucket Target,% Bucket Holding,% Bucket Difference,Sector Over/Under,Bucket Over/Under
253302,CLARION NAVIGATOR,IE00B1FZSD53,ISHR IND-LINK,1176942.79,UCITS ETFs,0.03,Bond,True,False,0.0,1176942.79,On Target,0.028297465067424317,-0.001702534932575682,0.21000000000000002,0.2090272905694786,-0.0009727094305214123,False,Bonds,0.26,0.25909031429942114,-0.0009096857005788661,On Target,On Target
253302,CLARION NAVIGATOR,GB00B3X7QG63,VNGRD FTSE UK AL SHR INDX,3245732.56,UCITS Open-Ended Funds,0.0805,UK,True,False,0.0,3245732.56,On Target,0.07803778103335142,-0.0024622189666485828,0.23,0.22853193536349198,-0.0014680646365080319,False,Equities,0.62,0.6201985718439273,0.00019857184392735316,On Target,On Target
253302,CLARION NAVIGATOR,IE00B4WXJK79,ISHARES FTSE UK GILTS 0-5,1211384.77,UCITS ETFs,0.03,Bond,True,False,0.0,1211384.77,On Target,0.029125560310611906,-0.0008744396893880929,0.21000000000000002,0.2090272905694786,-0.0009727094305214123,False,Bonds,0.26,0.25909031429942114,-0.0009096857005788661,On Target,On Target
253302,CLARION NAVIGATOR,GB00B58YKH53,ISHARES OVERSEAS CORP BD,883066.51,UCITS Open-Ended Funds,0.02,Bond,True,False,0.0,883066.51,On Target,0.021231740345626575,0.0012317403456265745,0.21000000000000002,0.2090272905694786,-0.0009727094305214123,False,Bonds,0.26,0.25909031429942114,-0.0009096857005788661,On Target,On Target
253302,CLARION NAVIGATOR,GB00B6QQ9X96,ISHARES JAPAN EQ D ACC,2076193.13,UCITS Open-Ended Funds,0.05,Japan,True,False,0.0,2076193.13,On Target,0.049918316394462425,-8.168360553757747e-05,0.05,0.049918316394462425,-8.168360553757747e-05,False,Equities,0.62,0.6201985718439273,0.00019857184392735316,On Target,On Target
253302,CLARION NAVIGATOR,GB00B7DRD638,FRANKLIN UK EQ INC W ACC,2313623.85,UCITS Open-Ended Funds,0.0575,UK,True,False,0.0,2313623.85,On Target,0.05562690950724526,-0.0018730904927547407,0.23,0.22853193536349198,-0.0014680646365080319,False,Equities,0.62,0.6201985718439273,0.00019857184392735316,On Target,On Target
253302,CLARION NAVIGATOR,GB00B7T0G907,MFM SLATER GROWTH CLASS P,1499769.11,UCITS Open-Ended Funds,0.0345,UK,True,False,0.0,1499769.11,On Target,0.03605924124776452,0.0015592412477645201,0.23,0.22853193536349198,-0.0014680646365080319,False,Equities,0.62,0.6201985718439273,0.00019857184392735316,On Target,On Target
253302,CLARION NAVIGATOR,GB00B80QGH28,HSBC EUROPEAN INDEX C ACC,2144638.22,UCITS Open-Ended Funds,0.05,Europe,True,False,0.0,2144638.22,On Target,0.05156395504382424,0.0015639550438242347,0.05,0.05156395504382424,0.0015639550438242347,False,Equities,0.62,0.6201985718439273,0.00019857184392735316,On Target,On Target
253302,CLARION NAVIGATOR,GB00B8N46731,IP GLOBAL EMERGING MARKET,1643799.46,UCITS Open-Ended Funds,0.04,Emerging Markets,True,False,0.0,1643799.46,On Target,0.039522191046517184,-0.0004778089534828167,0.04,0.039522191046517184,-0.0004778089534828167,False,Equities,0.62,0.6201985718439273,0.00019857184392735316,On Target,On Target
253302,CLARION NAVIGATOR,GB00B8XYYQ86,ROYAL LND SH TM MMK- Y AC,4158496.62,UCITS Open-Ended Funds,0.1,CASH/MONEY MARKETS,True,False,0.0,4158496.62,On Target,0.09998354536625531,-1.645463374469469e-05,0.1,0.09998354536625531,-1.645463374469469e-05,False,Cash/Money Markets,0.1,0.09998354536625531,-1.645463374469469e-05,On Target,On Target
