Designation,Account Name,ISIN,Description,Base Market Value,Asset Type,% Target,Investment Area,Tradeable,Traded,Trade Amount,Initial Market Value,Fund Over/Under,% Holding,% Fund Difference,% Sector Target,% Sector Holding,% Sector Difference,Sector Traded,Bucket,% Bucket Target,% Bucket Holding,% Bucket Difference,Sector Over/Under,Bucket Over/Under
392124,INTERNATIONAL,GB0005803530,BLACKROCK UK EQUITY I ACC,6279855.45,UCITS Open-Ended Funds,0.06,UK,True,False,0.0,6279855.45,On Target,0.061697922514702665,0.001697922514702667,0.19,0.19228184255413477,0.002281842554134772,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB0006063233,BAILLIE GIFFORD PACIFIC B,6862091.23,UCITS Open-Ended Funds,0.07,ASIA PACIFIC,True,False,0.0,6862091.23,On Target,0.06741823539861268,-0.002581764601387329,0.14,0.13623575323554019,-0.0037642467644598276,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00B28J0V38,IP EU EQ INC NO TRAIL ACC,5165314.0,UCITS Open-Ended Funds,0.05,EUROPE,True,False,0.0,5165314.0,On Target,0.05074784690085643,0.0007478469008564276,0.15000000000000002,0.15133372533932107,0.0013337253393210513,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00B2Q5DR06,JPM US SELECT C ACC,6399032.3,UCITS Open-Ended Funds,0.06,USA,True,False,0.0,6399032.3,On Target,0.06286880361465638,0.0028688036146563844,0.29,0.29054469318896325,0.0005446931889632745,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00B3X7QG63,VNGRD FTSE UK AL SHR INDX,6201490.35,UCITS Open-Ended Funds,0.06,UK,True,False,0.0,6201490.35,On Target,0.06092800608809814,0.0009280060880981419,0.19,0.19228184255413477,0.002281842554134772,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00B5B71Q71,VANGUARD US EQTY INDX ACC,6054069.04,UCITS Open-Ended Funds,0.06,USA,True,False,0.0,6054069.04,On Target,0.05947963062248198,-0.0005203693775180165,0.29,0.29054469318896325,0.0005446931889632745,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00B6QQ9X96,ISHARES JAPAN EQ D ACC,5492909.32,UCITS Open-Ended Funds,0.05,Japan,True,False,0.0,5492909.32,On Target,0.053966384466006795,0.003966384466006792,0.1,0.10495042440867969,0.004950424408679682,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00B80QGH28,HSBC EUROPEAN INDEX C ACC,5265448.23,UCITS Open-Ended Funds,0.05,EUROPE,True,False,0.0,5265448.23,On Target,0.05173163928474155,0.0017316392847415499,0.15000000000000002,0.15133372533932107,0.0013337253393210513,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00B82VD295,STND LIFE GLBL MKT EQ ACC,4823349.13,UCITS Open-Ended Funds,0.05,EMERGING MARKETS,True,False,0.0,4823349.13,On Target,0.04738813229914369,-0.0026118677008563143,0.1,0.09723241227066132,-0.0027675877293386886,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00BDD29732,SCHRODER ASIAN INC L ACC,7004515.66,UCITS Open-Ended Funds,0.07,ASIA PACIFIC,True,False,0.0,7004515.66,On Target,0.06881751783692751,-0.0011824821630724985,0.14,0.13623575323554019,-0.0037642467644598276,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00BDD2J739,SCHRDR TOKYO FUND L ACC,5189354.65,UCITS Open-Ended Funds,0.05,Japan,True,False,0.0,5189354.65,On Target,0.050984039942672886,0.0009840399426728832,0.1,0.10495042440867969,0.004950424408679682,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00BJS8SH10,FIDELITY INDEX US P ACC,5946604.94,UCITS Open-Ended Funds,0.055,USA,True,False,0.0,5946604.94,On Target,0.058423824200231886,0.0034238242002318856,0.29,0.29054469318896325,0.0005446931889632745,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,IE00BLNMYC90,X TRACKERS S&P 500 EQUAL,5917853.73,UCITS ETFs,0.06,USA,True,False,0.0,5917853.73,On Target,0.058141351149553,-0.001858648850446995,0.29,0.29054469318896325,0.0005446931889632745,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00BMMV5766,ART US SMALL COMPS I ACC,5255213.28,UCITS Open-Ended Funds,0.055,USA,True,False,0.0,5255213.28,On Target,0.05163108360203999,-0.0033689163979600117,0.29,0.29054469318896325,0.0005446931889632745,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00BQ1JYV63,L&G UK MID CAP INDX C ACC,7089850.89,UCITS Open-Ended Funds,0.07,UK,True,False,0.0,7089850.89,On Target,0.06965591395133398,-0.000344086048666023,0.19,0.19228184255413477,0.002281842554134772,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00BVRZK937,BNY MEL GBL EMG W ACC,5073345.43,UCITS Open-Ended Funds,0.05,EMERGING MARKETS,True,False,0.0,5073345.43,On Target,0.049844279971517635,-0.00015572002848236732,0.1,0.09723241227066132,-0.0027675877293386886,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
392124,INTERNATIONAL,GB00BYSXC022,BLACKROCK CONT EUR X ACC,4972575.21,UCITS Open-Ended Funds,0.05,EUROPE,True,False,0.0,4972575.21,On Target,0.04885423915372309,-0.0011457608462769123,0.15000000000000002,0.15133372533932107,0.0013337253393210513,False,Equities,0.97,0.9725788509973002,0.002578850997300264,On Target,On Target
