Designation,Account Name,ISIN,Description,Base Market Value,Asset Type,% Target,Investment Area,Tradeable,Traded,Trade Amount,Initial Market Value,Fund Over/Under,% Holding,% Fund Difference,% Sector Target,% Sector Holding,% Sector Difference,Sector Traded,Bucket,% Bucket Target,% Bucket Holding,% Bucket Difference,Sector Over/Under,Bucket Over/Under
392126,SELECT,GB0032084708,SVM UK GROWTH B,4451664.06,UCITS Open-Ended Funds,0.04,UK,True,False,0.0,4451664.06,On Target,0.03943685577436015,-0.0005631442256398486,0.2225,0.2226073190281003,0.00010731902810029448,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
392126,SELECT,GB00B28J0V38,IP EU EQ INC NO TRAIL ACC,3447166.81,UCITS Open-Ended Funds,0.03,EUROPE,True,False,0.0,3447166.81,On Target,0.03053811304802977,0.0005381130480297709,0.06,0.058955529683614505,-0.001044470316385493,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
392126,SELECT,GB00B4KL9F89,JUPITER UK SPEC SITS I,8376297.72,UCITS Open-Ended Funds,0.075,UK,True,False,0.0,8376297.72,On Target,0.07420480086872094,-0.0007951991312790535,0.2225,0.2226073190281003,0.00010731902810029448,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
392126,SELECT,GB00B5B71Q71,VANGUARD US EQTY INDX ACC,5649302.01,UCITS Open-Ended Funds,0.05,USA,True,False,0.0,5649302.01,On Target,0.05004661303983772,4.661303983771736e-05,0.1,0.10173314695555924,0.0017331469555592338,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
392126,SELECT,GB00B6Y7NF43,FIDELITY SE ASIA W ACC,6234039.05,UCITS Open-Ended Funds,0.0575,ASIA PACIFIC,True,False,0.0,6234039.05,On Target,0.05522674119003023,-0.002273258809969772,0.1175,0.11730943246096609,-0.00019056753903390344,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
392126,SELECT,GB00B7C44X99,ISHARES UK EQTY IND D ACC,12300131.78,UCITS Open-Ended Funds,0.1075,UK,True,False,0.0,12300131.78,On Target,0.1089656623850192,0.0014656623850192035,0.2225,0.2226073190281003,0.00010731902810029448,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
392126,SELECT,GB00B7L34154,UBS GLOBAL EM EQTY C ACC,6743904.44,UCITS Open-Ended Funds,0.06,EMERGING MARKETS,True,False,0.0,6743904.44,On Target,0.05974358872810971,-0.0002564112718902861,0.06,0.05974358872810971,-0.0002564112718902861,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
392126,SELECT,GB00BD050G12,RYL LDN SHRT GBL INX INC,4913622.47,UCITS Open-Ended Funds,0.045,BOND,True,False,0.0,4913622.47,On Target,0.04352930007010576,-0.001470699929894237,0.19999999999999998,0.1985923293264654,-0.001407670673534589,False,Bonds,0.19999999999999998,0.1985923293264654,-0.001407670673534589,On Target,On Target
392126,SELECT,GB00BDD29732,SCHRODER ASIAN INC L ACC,7007944.22,UCITS Open-Ended Funds,0.06,ASIA PACIFIC,True,False,0.0,7007944.22,On Target,0.06208269127093586,0.0020826912709358616,0.1175,0.11730943246096609,-0.00019056753903390344,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
392126,SELECT,GB00BHCQVM34,RATHBONE INCOME S ACC,8030846.32,UCITS Open-Ended Funds,0.0725,UK EQUITY INCOME,True,False,0.0,8030846.32,On Target,0.07114448076027799,-0.0013555192397220056,0.22249999999999998,0.22310281230154771,0.0006028123015477393,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
392126,SELECT,GB00BJS8SH10,FIDELITY INDEX US P ACC,5834417.6,UCITS Open-Ended Funds,0.05,USA,True,False,0.0,5834417.6,On Target,0.05168653391572151,0.0016865339157215095,0.1,0.10173314695555924,0.0017331469555592338,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
392126,SELECT,GB00BKGR3F07,L&G SHRT DTD CRP BD C ACC,4921300.82,UCITS Open-Ended Funds,0.045,BOND,True,False,0.0,4921300.82,On Target,0.04359732182050152,-0.001402678179498476,0.19999999999999998,0.1985923293264654,-0.001407670673534589,False,Bonds,0.19999999999999998,0.1985923293264654,-0.001407670673534589,On Target,On Target
392126,SELECT,GB00BKLJX955,ROYAL LONDON STERLING CRE,10385596.66,UCITS Open-Ended Funds,0.09,BOND,True,False,0.0,10385596.66,On Target,0.09200498332551549,0.0020049833255154914,0.19999999999999998,0.1985923293264654,-0.001407670673534589,False,Bonds,0.19999999999999998,0.1985923293264654,-0.001407670673534589,On Target,On Target
392126,SELECT,GB00BMGR2791,UKT 0.125 31/01/24,2196742.22,,0.02,BOND,True,False,0.0,2196742.22,On Target,0.01946072411034263,-0.0005392758896573709,0.19999999999999998,0.1985923293264654,-0.001407670673534589,False,Bonds,0.19999999999999998,0.1985923293264654,-0.001407670673534589,On Target,On Target
392126,SELECT,GB00BMH6XK58,ALLIANZ UK EQUITY INCOME,8679788.19,UCITS Open-Ended Funds,0.075,UK EQUITY INCOME,True,False,0.0,8679788.19,On Target,0.07689339320924063,0.001893393209240632,0.22249999999999998,0.22310281230154771,0.0006028123015477393,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
392126,SELECT,GB00BW9Z0V08,BLACKRK EURO DYN X ACC,3207780.89,UCITS Open-Ended Funds,0.03,EUROPE,True,False,0.0,3207780.89,On Target,0.02841741663558473,-0.0015825833644152673,0.06,0.058955529683614505,-0.001044470316385493,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
392126,SELECT,GB00BZ1N2P12,BLACKROCK UK INCOME X ACC,8473390.73,UCITS Open-Ended Funds,0.075,UK EQUITY INCOME,True,False,0.0,8473390.73,On Target,0.07506493833202911,6.493833202911303e-05,0.22249999999999998,0.22310281230154771,0.0006028123015477393,False,Equities,0.7825,0.7834518291578976,0.000951829157897599,On Target,On Target
