Designation,Account Name,ISIN,Description,Base Market Value,Asset Type,% Target,Investment Area,Tradeable,Traded,Trade Amount,Initial Market Value,Fund Over/Under,% Holding,% Fund Difference,% Sector Target,% Sector Holding,% Sector Difference,Sector Traded,Bucket,% Bucket Target,% Bucket Holding,% Bucket Difference,Sector Over/Under,Bucket Over/Under
392128,VENTURE,GB0006063233,BAILLIE GIFFORD PACIFIC B,3985687.0,UCITS Open-Ended Funds,0.055,ASIA PACIFIC,True,False,0.0,3985687.0,On Target,0.05252625247486656,-0.002473747525133442,0.38,0.3779190783634529,-0.002080921636547106,False,Equities,0.98,0.9825349394428841,0.0025349394428840766,On Target,On Target
392128,VENTURE,GB0007646747,SCHRODER INST PACIFIC I,4968297.98,UCITS Open-Ended Funds,0.065,ASIA PACIFIC,True,False,0.0,4968297.98,On Target,0.06547580732452137,0.0004758073245213629,0.38,0.3779190783634529,-0.002080921636547106,False,Equities,0.98,0.9825349394428841,0.0025349394428840766,On Target,On Target
392128,VENTURE,GB0033874768,STWRT INV AS PAC LD B ACC,4913891.0,UCITS Open-Ended Funds,0.065,ASIA PACIFIC,True,False,0.0,4913891.0,On Target,0.06475879297595986,-0.00024120702404013816,0.38,0.3779190783634529,-0.002080921636547106,False,Equities,0.98,0.9825349394428841,0.0025349394428840766,On Target,On Target
392128,VENTURE,LU1841731745,Lyxor China UCITS ETF,949011.52,UCITS ETFs,0.015,Asia Pacific,True,False,0.0,949011.52,On Target,0.012506756978427278,-0.002493243021572722,0.015,0.012506756978427278,-0.002493243021572722,False,Equities,0.98,0.9825349394428841,0.0025349394428840766,On Target,On Target
392128,VENTURE,IE00B27YCK28,ISHARES MSCI EM LATIN AM,1212904.0,UCITS ETFs,0.015,EMERGING MARKETS,True,False,0.0,1212904.0,On Target,0.0159845220489656,0.0009845220489656005,0.325,0.32843879152035443,0.003438791520354423,False,Equities,0.98,0.9825349394428841,0.0025349394428840766,On Target,On Target
392128,VENTURE,GB00B3X7QG63,VNGRD FTSE UK AL SHR INDX,2483676.63,UCITS Open-Ended Funds,0.035,UK,True,False,0.0,2483676.63,On Target,0.03273167856214142,-0.0022683214378585864,0.11000000000000001,0.1105453106536735,0.0005453106536734836,False,Equities,0.98,0.9825349394428841,0.0025349394428840766,On Target,On Target
392128,VENTURE,GB00B5M5KY18,JPM EMRGNG MKT INC C ACC,4974138.8,UCITS Open-Ended Funds,0.065,EMERGING MARKETS,True,False,0.0,4974138.8,On Target,0.06555278185513057,0.0005527818551305658,0.325,0.32843879152035443,0.003438791520354423,False,Equities,0.98,0.9825349394428841,0.0025349394428840766,On Target,On Target
392128,VENTURE,GB00B6QQ9X96,ISHARES JAPAN EQ D ACC,2412134.31,UCITS Open-Ended Funds,0.03,Japan,True,False,0.0,2412134.31,On Target,0.03178884236778955,0.0017888423677895546,0.06,0.06338578359687011,0.003385783596870112,False,Equities,0.98,0.9825349394428841,0.0025349394428840766,On Target,On Target
392128,VENTURE,GB00B6Y7NF43,FIDELITY SE ASIA W ACC,4995695.32,UCITS Open-Ended Funds,0.065,ASIA PACIFIC,True,False,0.0,4995695.32,On Target,0.0658368691936495,0.0008368691936495032,0.38,0.3779190783634529,-0.002080921636547106,False,Equities,0.98,0.9825349394428841,0.0025349394428840766,On Target,On Target
392128,VENTURE,GB00B7L34154,UBS GLOBAL EM EQTY C ACC,4644644.28,UCITS Open-Ended Funds,0.06,EMERGING MARKETS,True,False,0.0,4644644.28,On Target,0.06121046587632818,0.0012104658763281845,0.325,0.32843879152035443,0.003438791520354423,False,Equities,0.98,0.9825349394428841,0.0025349394428840766,On Target,On Target
