Designation,Account Name,ISIN,Description,Base Market Value,Asset Type,% Target,Investment Area,Tradeable,Traded,Trade Amount,Initial Market Value,Fund Over/Under,% Holding,% Fund Difference,% Sector Target,% Sector Holding,% Sector Difference,Sector Traded,Bucket,% Bucket Target,% Bucket Holding,% Bucket Difference,Sector Over/Under,Bucket Over/Under
253278,PRIMA ADVENTUROUS FUND,GB0006011133,B GIFF JAPANESE B ACC,197192.81,UCITS Open-Ended Funds,0.03,Japan,True,False,0.0,197192.81,On Target,0.029908448402915636,-9.155159708436333e-05,0.08,0.0826767983520924,0.002676798352092405,False,Equities,0.98,0.9791626809716125,-0.0008373190283874621,On Target,On Target
253278,PRIMA ADVENTUROUS FUND,GB0006436108,BLACKROCK SMALLER COMPANI,453969.9,Closed-Ended Funds,0.07,UK,True,False,0.0,453969.9,On Target,0.06885410949124754,-0.0011458905087524673,0.17,0.16795636512534357,-0.002043634874656447,False,Equities,0.98,0.9791626809716125,-0.0008373190283874621,On Target,On Target
253278,PRIMA ADVENTUROUS FUND,GB0033874768,STWRT INV AS PAC LD B ACC,390371.39,UCITS Open-Ended Funds,0.06,ASIA PACIFIC,True,False,0.0,390371.39,On Target,0.059208054166830205,-0.0007919458331697923,0.16999999999999998,0.16611807814874444,-0.0038819218512555487,False,Equities,0.98,0.9791626809716125,-0.0008373190283874621,On Target,On Target
253278,PRIMA ADVENTUROUS FUND,GB00B0CNH163,L&G GLBAL TECH INDX I ACC,205188.06,UCITS Open-Ended Funds,0.03,GLOBAL,True,False,0.0,205188.06,On Target,0.03112109668402391,0.0011210966840239124,0.06,0.06279364973349395,0.0027936497334939553,False,Equities,0.98,0.9791626809716125,-0.0008373190283874621,On Target,On Target
253278,PRIMA ADVENTUROUS FUND,GB00B0CNH387,L&G GLB HEL & PHA I ACC,208823.93,UCITS Open-Ended Funds,0.03,GLOBAL,True,False,0.0,208823.93,On Target,0.03167255304947004,0.0016725530494700394,0.06,0.06279364973349395,0.0027936497334939553,False,Equities,0.98,0.9791626809716125,-0.0008373190283874621,On Target,On Target
253278,PRIMA ADVENTUROUS FUND,GB00B18B9X76,CF LINDSELL TRAIN UK EQ A,230263.01,NURS Open-Ended Funds,0.035,UK,True,False,0.0,230263.01,On Target,0.034924241678411336,-7.575832158866758e-05,0.17,0.16795636512534357,-0.002043634874656447,False,Equities,0.98,0.9791626809716125,-0.0008373190283874621,On Target,On Target
253278,PRIMA ADVENTUROUS FUND,GB00B5B71H80,VGUARD FTSE DEV EUR ACC,390016.81,UCITS Open-Ended Funds,0.06,EUROPE,True,False,0.0,390016.81,On Target,0.059154274631791855,-0.0008457253682081431,0.06,0.059154274631791855,-0.0008457253682081431,False,Equities,0.98,0.9791626809716125,-0.0008373190283874621,On Target,On Target
253278,PRIMA ADVENTUROUS FUND,GB00B6QQ9X96,ISHARES JAPAN EQ D ACC,347913.04,UCITS Open-Ended Funds,0.05,Japan,True,False,0.0,347913.04,On Target,0.052768349949176764,0.0027683499491767613,0.08,0.0826767983520924,0.002676798352092405,False,Equities,0.98,0.9791626809716125,-0.0008373190283874621,On Target,On Target
253278,PRIMA ADVENTUROUS FUND,GB00B7C44X99,ISHARES UK EQTY IND D ACC,237403.64,UCITS Open-Ended Funds,0.035,UK,True,False,0.0,237403.64,On Target,0.0360072688127136,0.0010072688127135965,0.17,0.16795636512534357,-0.002043634874656447,False,Equities,0.98,0.9791626809716125,-0.0008373190283874621,On Target,On Target
253278,PRIMA ADVENTUROUS FUND,GB00B80QG615,HSBC AMERICAN INDEX C ACC,816832.99,UCITS Open-Ended Funds,0.125,USA,True,False,0.0,816832.99,On Target,0.12388994981720836,-0.0011100501827916442,0.38,0.3796706071275878,-0.00032939287241218196,False,Equities,0.98,0.9791626809716125,-0.0008373190283874621,On Target,On Target
