Designation,Account Name,ISIN,Description,Base Market Value,Asset Type,% Target,Investment Area,Tradeable,Traded,Trade Amount,Initial Market Value,Fund Over/Under,% Holding,% Fund Difference,% Sector Target,% Sector Holding,% Sector Difference,Sector Traded,Bucket,% Bucket Target,% Bucket Holding,% Bucket Difference,Sector Over/Under,Bucket Over/Under
253277,PRIMA BALANCED FUND,GB0006011133,B GIFF JAPANESE B ACC,1081289.35,UCITS Open-Ended Funds,0.02,JAPAN,True,False,0.0,1081289.35,On Target,0.022344924206799788,0.0023449242067997873,0.02,0.022344924206799788,0.0023449242067997873,False,Equities,0.8,0.8045091372037256,0.004509137203725588,On Target,On Target
253277,PRIMA BALANCED FUND,GB0006436108,BLACKROCK SMALLER COMPANI,1859604.0,Closed-Ended Funds,0.04,UK,True,False,0.0,1859604.0,On Target,0.0384288538813979,-0.0015711461186021028,0.17,0.16986254994833064,-0.0001374500516693744,False,Equities,0.8,0.8045091372037256,0.004509137203725588,On Target,On Target
253277,PRIMA BALANCED FUND,GB0033874768,STWRT INV AS PAC LD B ACC,2087712.92,UCITS Open-Ended Funds,0.04,ASIA PACIFIC,True,False,0.0,2087712.92,On Target,0.0431427415455046,0.0031427415455045973,0.16,0.16146857738066062,0.0014685773806606128,False,Equities,0.8,0.8045091372037256,0.004509137203725588,On Target,On Target
253277,PRIMA BALANCED FUND,GB00B0CNH387,L&G GLB HEL & PHA I ACC,1862600.79,UCITS Open-Ended Funds,0.04,Global,True,False,0.0,1862600.79,On Target,0.038490782767882994,-0.0015092172321170064,0.09,0.08675810986066052,-0.0032418901393394817,False,Equities,0.8,0.8045091372037256,0.004509137203725588,On Target,On Target
253277,PRIMA BALANCED FUND,GB00B18B9X76,CF LINDSELL TRAIN UK EQ A,1423016.44,NURS Open-Ended Funds,0.03,UK,True,False,0.0,1423016.44,On Target,0.029406739737915716,-0.0005932602620842831,0.17,0.16986254994833064,-0.0001374500516693744,False,Equities,0.8,0.8045091372037256,0.004509137203725588,On Target,On Target
253277,PRIMA BALANCED FUND,IE00B1S75374,VANGUARD U.K. GOVERNMENT,917946.65,UCITS Open-Ended Funds,0.02,Bond,True,False,0.0,917946.65,On Target,0.018969435258134902,-0.0010305647418650983,0.16999999999999998,0.16760576456267212,-0.002394235437327863,False,Bonds,0.19,0.18752298028533282,-0.0024770197146671835,On Target,On Target
253277,PRIMA BALANCED FUND,GB00B1W0GF10,BAILLIE HGH YLD BND B ACC,1490047.77,UCITS Open-Ended Funds,0.03,Bond,True,False,0.0,1490047.77,On Target,0.030791947118651488,0.0007919471186514891,0.16999999999999998,0.16760576456267212,-0.002394235437327863,False,Bonds,0.19,0.18752298028533282,-0.0024770197146671835,On Target,On Target
253277,PRIMA BALANCED FUND,GB00B5B71H80,VGUARD FTSE DEV EUR ACC,3003076.3,UCITS Open-Ended Funds,0.06,EUROPE,True,False,0.0,3003076.3,On Target,0.06205879333846831,0.002058793338468312,0.1,0.10071342286361379,0.0007134228636137829,False,Equities,0.8,0.8045091372037256,0.004509137203725588,On Target,On Target
253277,PRIMA BALANCED FUND,GB00B6QQ9X96,ISHARES JAPAN EQ D ACC,1930827.42,UCITS Open-Ended Funds,0.04,Japan,True,False,0.0,1930827.42,On Target,0.03990069111132073,-9.93088886792684e-05,0.04,0.03990069111132073,-9.93088886792684e-05,False,Equities,0.8,0.8045091372037256,0.004509137203725588,On Target,On Target
253277,PRIMA BALANCED FUND,GB00B7C44X99,ISHARES UK EQTY IND D ACC,2426439.96,UCITS Open-Ended Funds,0.05,UK,True,False,0.0,2426439.96,On Target,0.05014256082199488,0.00014256082199487485,0.17,0.16986254994833064,-0.0001374500516693744,False,Equities,0.8,0.8045091372037256,0.004509137203725588,On Target,On Target
