Designation,Account Name,ISIN,Description,Base Market Value,Asset Type,% Target,Investment Area,% Holding,% Fund Difference,% Sector Target,% Sector Holding,% Sector Difference,Bucket,% Bucket Target,% Bucket Holding,% Bucket Difference,Fund Over/Under,Sector Over/Under,Bucket Over/Under,Traded,Trade Amount
253302,CLARION NAVIGATOR,IE00B1FZSD53,ISHR IND-LINK,1219533.67,UCITS ETFs,0.03,Bond,0.029350873585113745,-0.0006491264148862537,0.166,0.21067671012176542,0.04467671012176541,Bonds,0.21600000000000003,0.2613447129762744,0.04534471297627435,On Target,Sell,Sell,False,0.0
253302,CLARION NAVIGATOR,GB00B3X7QG63,VNGRD FTSE UK AL SHR INDX,3258075.93,UCITS Open-Ended Funds,0.0805,UK,0.07841306648969512,-0.002086933510304881,0.23,0.22886505453940545,-0.0011349454605945608,Equities,0.62,0.615967838584335,-0.004032161415664981,On Target,On Target,On Target,False,0.0
253302,CLARION NAVIGATOR,IE00B4WXJK79,ISHARES FTSE UK GILTS 0-5,1216189.5,UCITS ETFs,0.03,Bond,0.029270388467456332,-0.000729611532543667,0.166,0.21067671012176542,0.04467671012176541,Bonds,0.21600000000000003,0.2613447129762744,0.04534471297627435,On Target,Sell,Sell,False,0.0
253302,CLARION NAVIGATOR,GB00B58YKH53,ISHARES OVERSEAS CORP BD,887588.97,UCITS Open-Ended Funds,0.02,Bond,0.02136186338669216,0.0013618633866921588,0.166,0.21067671012176542,0.04467671012176541,Bonds,0.21600000000000003,0.2613447129762744,0.04534471297627435,On Target,Sell,Sell,False,0.0
253302,CLARION NAVIGATOR,GB00B6QQ9X96,ISHARES JAPAN EQ D ACC,2027801.11,UCITS Open-Ended Funds,0.05,Japan,0.048803682505431226,-0.0011963174945687771,0.05,0.048803682505431226,-0.0011963174945687771,Equities,0.62,0.615967838584335,-0.004032161415664981,On Target,On Target,On Target,False,0.0
253302,CLARION NAVIGATOR,GB00B7DRD638,FRANKLIN UK EQ INC W ACC,2310933.59,UCITS Open-Ended Funds,0.0575,UK,0.05561791472611254,-0.00188208527388746,0.23,0.22886505453940545,-0.0011349454605945608,Equities,0.62,0.615967838584335,-0.004032161415664981,On Target,On Target,On Target,False,0.0
253302,CLARION NAVIGATOR,GB00B7T0G907,MFM SLATER GROWTH CLASS P,1502497.86,UCITS Open-Ended Funds,0.0345,UK,0.036161055521135334,0.001661055521135331,0.23,0.22886505453940545,-0.0011349454605945608,Equities,0.62,0.615967838584335,-0.004032161415664981,On Target,On Target,On Target,False,0.0
253302,CLARION NAVIGATOR,GB00B80QGH28,HSBC EUROPEAN INDEX C ACC,2140070.69,UCITS Open-Ended Funds,0.05,Europe,0.051505707329423014,0.0015057073294230117,0.05,0.051505707329423014,0.0015057073294230117,Equities,0.62,0.615967838584335,-0.004032161415664981,On Target,On Target,On Target,False,0.0
253302,CLARION NAVIGATOR,GB00B8N46731,IP GLOBAL EMERGING MARKET,1615255.56,UCITS Open-Ended Funds,0.04,Emerging Markets,0.03887482807195648,-0.0011251719280435182,0.04,0.03887482807195648,-0.0011251719280435182,Equities,0.62,0.615967838584335,-0.004032161415664981,On Target,On Target,On Target,False,0.0
253302,CLARION NAVIGATOR,GB00B8XYYQ86,ROYAL LND SH TM MMK- Y AC,4505543.49,UCITS Open-Ended Funds,0.1,CASH/MONEY MARKETS,0.10843623317691771,0.008436233176917704,0.1,0.10843623317691771,0.008436233176917704,Cash/Money Markets,0.1,0.10843623317691771,0.008436233176917704,On Target,Sell,Sell,False,0.0
253302,CLARION NAVIGATOR,IE00B9M1BB17,VANGUARD UK ST BD IDX GAC,1775053.75,UCITS Open-Ended Funds,0.0,Bond,0.04272073785632512,0.04272073785632512,0.166,0.21067671012176542,0.04467671012176541,Bonds,0.21600000000000003,0.2613447129762744,0.04534471297627435,Sell,Sell,Sell,False,0.0
253302,CLARION NAVIGATOR,GB00BFZ91W59,Artemis Corp Bond I Acc,1425808.45,UCITS Open-Ended Funds,0.033,Bond,0.03431534905677264,0.0013153490567726356,0.166,0.21067671012176542,0.04467671012176541,Bonds,0.21600000000000003,0.2613447129762744,0.04534471297627435,On Target,Sell,Sell,False,0.0
253302,CLARION NAVIGATOR,GB00BG08N399,ASI Short Global Bond,903648.51,UCITS Open-Ended Funds,0.02,Bond,0.021748373033756745,0.001748373033756745,0.166,0.21067671012176542,0.04467671012176541,Bonds,0.21600000000000003,0.2613447129762744,0.04534471297627435,On Target,Sell,Sell,False,0.0
253302,CLARION NAVIGATOR,GB00BJS8SH10,FIDELITY INDEX US P ACC,4413167.6,UCITS Open-Ended Funds,0.105,USA,0.10621299560964137,0.0012129956096413735,0.21,0.20960611415857977,-0.00039388584142022176,Equities,0.62,0.615967838584335,-0.004032161415664981,On Target,On Target,On Target,False,0.0
253302,CLARION NAVIGATOR,GB00BKLJX955,ROYAL LONDON STERLING CRE,1325829.43,UCITS Open-Ended Funds,0.033,Bond,0.03190912473564868,-0.0010908752643513236,0.166,0.21067671012176542,0.04467671012176541,Bonds,0.21600000000000003,0.2613447129762744,0.04534471297627435,On Target,Sell,Sell,False,0.0
253302,CLARION NAVIGATOR,IE00BLNMYC90,X TRACKERS S&P 500 EQUAL,2077954.86,UCITS ETFs,0.0525,USA,0.050010747478118206,-0.002489252521881792,0.21,0.20960611415857977,-0.00039388584142022176,Equities,0.62,0.615967838584335,-0.004032161415664981,On Target,On Target,On Target,False,0.0
253302,CLARION NAVIGATOR,GB00BMH6XK58,ALLIANZ UK EQUITY INCOME,2437873.63,UCITS Open-Ended Funds,0.0575,UK,0.058673017802462445,0.0011730178024624421,0.23,0.22886505453940545,-0.0011349454605945608,Equities,0.62,0.615967838584335,-0.004032161415664981,On Target,On Target,On Target,False,0.0
253302,CLARION NAVIGATOR,GB00BMMV5766,ART US SMALL COMPS I ACC,2218046.38,UCITS Open-Ended Funds,0.0525,USA,0.05338237107082018,0.0008823710708201829,0.21,0.20960611415857977,-0.00039388584142022176,Equities,0.62,0.615967838584335,-0.004032161415664981,On Target,On Target,On Target,False,0.0
253302,CLARION NAVIGATOR,IE00BRHZ0398,ISHARESUK REAL ESTATE ETF,2105263.93,UCITS ETFs,0.05,Property,0.05066800285450894,0.0006680028545089367,0.05,0.05066800285450894,0.0006680028545089367,Bonds,0.21600000000000003,0.2613447129762744,0.04534471297627435,On Target,On Target,Sell,False,0.0
253302,CLARION NAVIGATOR,GB00BRJL7V21,ABER AS PAC EQ EN ID B AC,1591888.74,UCITS Open-Ended Funds,0.04,Asia Pacific,0.03831245197953904,-0.0016875480204609633,0.04,0.03831245197953904,-0.0016875480204609633,Equities,0.62,0.615967838584335,-0.004032161415664981,On Target,On Target,On Target,False,0.0
