ISIN,Ticker,Fund Name,URL,Currency,30d Avg
GB0000485838 ,BGFD,Baillie Gifford Japan Trust Plc ,https://www.hl.co.uk/shares/shares-search-results/b/baillie-gifford-japan-trust-ord-5p-share,GBX,
GB0006111123,MUT,Murray Income Trust ,https://www.hl.co.uk/shares/shares-search-results/m/murray-inc-trust-plc-ordinary-25p-shares,GBX,
GB0006436108,BRSC,BLACKROCK SMALLER COMPANIES TRUST (BRSC),https://www.hl.co.uk/shares/shares-search-results/b/blackrock-smlr-cos-tst-25p,GBX,
GB00B6VTTK07,MWY,Mid Wynd International Investment Trust PLC,https://www.hl.co.uk/shares/shares-search-results/m/mid-wynd-international-it-ord-gbp0.05,GBX,
GB00BD8HBD32�,CSH,Civitas Housing Advisors Limited Civitas Social Housing PLC ,https://www.hl.co.uk/shares/shares-search-results/c/civitas-social-housing-plc-ord-gbp0.01,GBX,
GB00BD9PXH49,ASLI,Aberdeen Standard European Logistics Income PLC,https://www.hl.co.uk/shares/shares-search-results/a/abrdn-european-logistics-income-plc-ord-1p,GBX,
IE00B27YCK28,LTAM,iShares MSCI EM Latin America UCITS ETF,https://www.hl.co.uk/shares/shares-search-results/i/ishares-ii-plc-msci-em-latin-america-dist,GBX,
IE00BDFK1N50,IBTG,iShares Treasury 1-3yr ETF,https://www.hl.co.uk/shares/shares-search-results/i/ishares-usd-treasury-1-3yr-ucits-hdg-dist,GBP,
IE00BGPP8L80,WMVG,iShares Edge MSCI World Minimum Volatility,https://www.hl.co.uk/shares/shares-search-results/i/ishares-edge-msci-world-min-vol-gbp-hdgd,GBP,
IE00BLNMYC90�,XDWE,X Trackers S&P 500 Equal Weight ETF 1C,https://www.hl.co.uk/shares/shares-search-results/d/db-x-trackers-s-and-p-500-equal-weight-ucits-dr,GBX,
IE00BRHZ0398,UKRE,iShares MSCI Target UK Real Estate UCITS ETF GBP,https://www.hl.co.uk/shares/shares-search-results/i/ishares-iii-plc-msci-target-uk-real-estate,GBX,
IE00B1FZSD53,INXG,iShares � Index-Linked Gilts UCITS ETF GBP�,https://www.hl.co.uk/shares/shares-search-results/i/ishares-gbp-index-linked-gilts-ucits-etf,GBP,
IE00B4WXJK79,IGLS,ISHARES FTSE UK GILTS 0-5 GBP,https://www.hl.co.uk/shares/shares-search-results/i/ishares-uk-gilts-0-5yr-ucits-etf-gbp-dist,GBP,
IE00B1FZS467,INFR,ISHARES GLOBAL INFRASTRUCTURE UCITS ETF,https://www.hl.co.uk/shares/shares-search-results/i/ishares-global-infrastructure-ucits-etf-usd,GBX,
LU1841731745,LCCN,Lyxor MSCI China UCITS ETF,,,
GB00BJLP1Y77,HICL,HICL Infrastructure,https://www.hl.co.uk/shares/shares-search-results/h/hicl-infrastructure-plc-ord-gbp0.0001,GBX,"2,396,921.00"
GB00B8SC6K54,UKW,Greencoat UK Wind,https://www.hl.co.uk/shares/shares-search-results/g/greencoat-uk-wind-plc-ordinary-shares,GBX,"3,088,342.00"
GB00B188SR50,INPP,International Public Partnerships,https://www.hl.co.uk/shares/shares-search-results/i/international-public-partnerships-ltd-ord,GBX,"2,418,504.00"
GB00BYRJ5J14,PHP,Primary Health Properties,https://www.hl.co.uk/shares/shares-search-results/p/primary-health-properties-ordinary-shares,GBX,"3,011,187.00"
