Account_Number,Designation
MAR015_001,106175 MGTS PROGENY DYNAMIC EQUITY
MAR015_002,106182 MGTS PROGENY DYNAMIC BOND
MAR015_003,106184 MGTS PROGENY SYSTEMATIC EQUITY
MAR015_004,106185 MGTS PROGENY SYSTEMATIC BOND
MAR015_005,253275 PRIMA CAUTIOUS
MAR015_006,253277 PRIMA BALANCED
MAR015_007,253278 PRIMA ADVENTUROUS
MAR015_008,253302 MGTS CLARION NAVIGATOR
MAR015_009,275938 MARGETTS OPES INCOME
MAR015_010,392124 MARGETTS INTERNAT STRAT
MAR015_011,392125 MARGETTS PROVIDEN STRAT
MAR015_012,392126 MARGETTS SELECT STRAT
MAR015_013,392128 MARGETTS VENTURE STRAT
MAR015_014,392212 MARGETTS OPES GROWTH
MAR015_015,393241 MGTS FUTURE MONEY REAL VALUE
MAR015_016,393242 MGTS FUTURE MONEY REAL GROWTH
MAR015_017,393243 MGTS FUTURE MONEY DYNAMIC GROWTH
MAR015_018,393244 MGTS FUTURE MONEY INCOME
MAR015_019,397789 MGTS CLARION PRUDENCE
MAR015_020,397792 MGTS CLARION EXPLORER
MAR015_021,397874 MGTS CLARION MERIDIAN
MAR015_022,444780 MGTS TEMPUS UNIVERSAL
MAR015_023,564536 MGTS IBOSS 1
MAR015_024,564541 MGTS IBOSS 2
MAR015_025,564542 MGTS IBOSS 4
MAR015_026,564543 MGTS IBOSS 6
MAR015_027,506735 The MGTS Sentinel Universal Fund
MAR015_028,393243 Future Money Dynamic Growth
MAR015_029,393244 Future Money Income
MAR015_030,393242 Future Money Real Growth
MAR015_031,393241 Future Money Real Value
MAR015_032,303484 - MGTS PROGENY PROFOLIO GLOBAL 30-50% SHARES FUND
MAR015_033,303559 - MGTS PROGENY PROFOLIO GLOBAL 50-70% SHARES FUND
MAR015_034,303566 - MGTS PROGENY PROFOLIO GLOBAL 70-90% SHARES FUND
MAR015_035,357693 - MGTS PROGENY PROFOLIO MODEL 30-50% SHARES FUND
MAR015_036,357694 - MGTS PROGENY PROFOLIO MODEL 50-70% SHARES FUND
MAR015_037,357697 - MGTS PROGENY PROFOLIO MODEL 70-90% SHARES FUND
